Name,OrderApi__Display_Name__c,OrderApi__Line_Description__c,OrderApi__eStore_Description__c,OrderApi__Description__c,OrderApi__Is_Active__c,Avalara_Tax_Code__c,OrderApi__Business_Group__c,OrderApi__Item_Class__c
Tax: Admissions / Events,Tax: Admissions / Events Other Than Entertainment or Amusement,Tax: Admissions / Events Other Than Entertainment or Amusement,"<p>Avalara Tax Code OA020500: Admissions to professional events, committee meetings, roundtables, and conference sessions that are not entertainment or amusement.</p>",Tax: Admissions / Events Other Than Entertainment or Amusement,true,OA020500,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Pre-recorded Training,"Tax: Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription","Tax: Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",<p>Avalara Tax Code ST087640: Pre-recorded webinars and educational content sold as individual access without subscription.</p>,"Tax: Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",true,ST087640,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Online Training,Tax: Online Training,Tax: Online Training,<p>Avalara Tax Code ST087634: Structured online courses and digital educational modules accessed in a self-guided manner.</p>,Tax: Online Training,true,ST087634,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Membership Dues,"Tax: Dues (Social, Fraternal, non-entertainment)","Tax: Dues (Social, Fraternal, non-entertainment)",<p>Avalara Tax Code OD020500: Professional association membership dues without an entertainment component.</p>,"Tax: Dues (Social, Fraternal, non-entertainment)",true,OD020500,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Catering Services,Tax: Catering Services,Tax: Catering Services,"<p>Avalara Tax Code SF096370: Catering services at events including receptions, dinners, and conference meals.</p>",Tax: Catering Services,true,SF096370,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Online Skill Assessments,Tax: Online Skill Assessments,Tax: Online Skill Assessments,"<p>Avalara Tax Code ST080010: Professional certification exams, retests, practice tests, and exam bundles.</p>",Tax: Online Skill Assessments,true,ST080010,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Tangible Personal Property,Tax: Tangible Personal Property (TPP),Tax: Tangible Personal Property (TPP),"<p>Avalara Tax Code P0000000: Physical promotional merchandise such as paper weights, power banks, sports bags, and similar tangible goods.</p>",Tax: Tangible Personal Property (TPP),true,P0000000,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Advertising Services,Tax: Advertising Services - No Transfer of TPP,Tax: Advertising Services - No Transfer of TPP,<p>Avalara Tax Code SA030000: Sponsorship and partnership packages providing brand visibility without transfer of tangible property.</p>,Tax: Advertising Services - No Transfer of TPP,true,SA030000,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Training Subscription,Tax: Training / Webinar / SaaS Platform / Subscription / No download,Tax: Training / Webinar / SaaS Platform / Subscription / No download,<p>Avalara Tax Code ST087650: Recurring subscriptions granting access to an educational content platform without download of materials.</p>,Tax: Training / Webinar / SaaS Platform / Subscription / No download,true,ST087650,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Training and Seminar,Tax: Training and Seminar,Tax: Training and Seminar,"<p>Avalara Tax Code ST080000: In-person training events, workshops, and conference sessions where the attendee is physically present.</p>",Tax: Training and Seminar,true,ST080000,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Books / Manuals,Tax: Books / Manuals,Tax: Books / Manuals,"<p>Avalara Tax Code PB100000: Printed books, manuals, and professional/technical publications.</p>",Tax: Books / Manuals,true,PB100000,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Clothing,Tax: Clothing And Related Products (Business-To-Customer),Tax: Clothing And Related Products (Business-To-Customer),<p>Avalara Tax Code PC040100: Branded apparel and clothing merchandise sold to end consumers.</p>,Tax: Clothing And Related Products (Business-To-Customer),true,PC040100,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
Tax: Discounts,Tax: Discounts,Tax: Discounts,<p>Avalara Tax Code OD010000: Generic discount line items used to apply price reductions on orders.</p>,Tax: Discounts,true,OD010000,a0o6g000003t7VmAAI,a13WE00002QTlTOYA1
